ST,sugar-beet-2011,spring-barley-2012,sugar-beet-2014,soybean-000-2015,sugar-beet-2017
30.00,0.991517,0.957261,0.986365,0.997088,0.471104
40.00,0.008464,0.355964,0.396445,0.015664,0.390487
50.00,0.000331,0.204008,0.134361,0.003538,0.115450
60.00,0.000220,0.075129,0.011845,0.001807,0.020307
70.00,0.000271,0.010200,0.034786,0.003438,0.001263
80.00,0.000180,0.016894,0.043777,0.003465,0.001040
90.00,0.000099,0.025284,0.039827,0.003052,0.002240
100.00,0.000050,0.024008,0.027991,0.002228,0.002281
200.00,0.000096,0.029619,0.008146,0.000671,0.001620
