Si,sugar-beet-2011,spring-barley-2012,sugar-beet-2014,soybean-000-2015,sugar-beet-2017
30.00,0.999874,0.998627,0.960102,0.879599,0.999856
40.00,0.000000,0.000300,0.003911,0.002384,-0.000000
50.00,0.000000,0.000586,0.000851,-0.001084,0.000000
60.00,0.000000,0.000000,0.000536,-0.000108,0.000000
70.00,0.000000,0.000046,0.000463,0.000120,0.000000
80.00,0.000000,-0.000005,0.000427,0.000330,0.000000
90.00,0.000000,0.000105,0.000410,-0.000026,0.000000
100.00,0.000000,0.000081,0.000403,-0.000082,0.000000
200.00,0.000000,0.000115,0.030909,0.001795,0.000000
